DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
ls036-2,A,Daniel,Daniel Friedman,,,,,,,,
ls036-2,B,Bleu,Bleu Knight,0,0,0,0,,,,
ls036-2,C,Danielle,,,,,0,,,,
ls036-2,D,Dean,Dean Tickles,,,,,,,,
ls037-0,A,Daniel,Daniel Friedman,,,,,,,,
ls037-0,B,Stephen,Stephen Sillett,0,0,0,0,,,,
ls037-0,C,Dean,Dean Tickles,0,0,0,0,,,,
ls037-1,A,Daniel,Daniel Friedman,00:23,,,,,,,
ls037-1,B,Stephen S,Stephen Sillett,02:01,,,,,,,
ls037-1,C,Dean,Dean Tickles,02:14,,,,,,,
ls037-1,D,Bleu,Bleu Knight,02:32,,,,,,,
ls037-1,E,Stephen M,Stephen Mann,02:44,,,,,,,
ls037-2,A,Daniel,Daniel Friedman,,,,,,,,
ls037-2,B,Stephen S,Stephen Sillett,0,0,0,0,,,,
ls037-2,C,Dean,Dean Tickles,0,0,0,0,,,,
ls037-2,D,Bleu,Bleu Knight,,,,,,,,
ls038-0,A,Daniel,Daniel Friedman,00:27,,,,,,,
ls038-1,A,Daniel,Daniel Friedman,00:23,,,,,,,
ls038-1,B,Stephen,Stephen Sillett,03:01,,,,,,,
ls038-1,C,Dean,Dean Tickles,03:49,,,,,,,
ls038-2,A,Daniel,Daniel Friedman,00:26,,,,,,,
ls038-2,B,Dean,Dean Tickles,01:59,,,,,,,
ls038-2,C,Bleu,Bleu Knight,02:12,,,,,,,
ls039-0,A,Daniel,Daniel Friedman,,,,A @ 00:26,,,,
ls039-0,B,Dean,Dean Tickles,,,,B @ 02:57,,,,
ls039-1,A,Friedman,Daniel Friedman,12:27,,,A @ 00:27,,,,
ls039-1,B,Bleu,Bleu Knight,01:56,,,B @ 01:56,,,,
ls039-1,C,Stephen,Stephen Sillett,02:01,,,C @ 02:14,,,,
ls039-1,D,Dean,Dean Tickles,02:18,,,D @ 30:42,,,,
ls039-1,E,Franz,Franz Kuchling,53:27,,,E @ 53:28,,,,
ls039-2,A,Daniel,Daniel Friedman,,,,A @ 00:28,,,,
ls039-2,B,Dean,Dean Tickles,,,,B @ 00:44,,,,
ls039-2,C,Bleu,Bleu Knight,,,,C @ 02:14,,,,
ls039-2,D,Franz,Franz Kuchling,,,,D @ 02:38,,,,
ls040-0,A,Daniel,Daniel Friedman,,,,,,,,
ls040-0,B,Bleu,Bleu Knight,0,0,0,0,,,,
